GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
courses,edu.ucsb.cs156.courses.controllers,CSRFController,0,5,0,0,0,2,0,2,0,2
courses,edu.ucsb.cs156.courses.controllers,ApiController,0,24,0,0,0,7,0,5,0,5
courses,edu.ucsb.cs156.courses.controllers,PersonalSectionsController,0,82,0,2,0,17,0,5,0,4
courses,edu.ucsb.cs156.courses.controllers,UserInfoController,0,6,0,0,0,2,0,2,0,2
courses,edu.ucsb.cs156.courses.controllers,PersonalSchedulesController,0,238,0,0,0,47,0,17,0,17
courses,edu.ucsb.cs156.courses.controllers,UCSBCurriculumController,0,23,0,0,0,5,0,2,0,2
courses,edu.ucsb.cs156.courses.controllers,UCSBSectionsController,0,33,0,0,0,7,0,3,0,3
courses,edu.ucsb.cs156.courses.controllers,UsersController,0,16,0,0,0,4,0,2,0,2
courses,edu.ucsb.cs156.courses.controllers,PSCourseController,0,285,0,4,0,54,0,22,0,20
courses,edu.ucsb.cs156.courses.controllers,SystemInfoController,0,7,0,0,0,2,0,2,0,2
courses,edu.ucsb.cs156.courses.controllers,JobsController,0,35,0,0,0,13,0,4,0,4
courses,edu.ucsb.cs156.courses.controllers,UCSBSubjectsController,0,109,0,0,0,24,0,10,0,10
courses,edu.ucsb.cs156.courses.documents,Course,0,4,0,0,0,1,0,1,0,1
courses,edu.ucsb.cs156.courses.documents,CoursePage,0,93,0,4,0,26,0,5,0,3
courses,edu.ucsb.cs156.courses.jobs,TestJob,0,31,0,4,0,10,0,3,0,1
courses,edu.ucsb.cs156.courses.jobs,UpdateCourseDataJob,0,21,0,0,0,5,0,1,0,1
courses,edu.ucsb.cs156.courses.errors,EntityNotFoundException,0,17,0,0,0,3,0,1,0,1
courses,edu.ucsb.cs156.courses.errors,BadEnrollCdException,0,12,0,0,0,3,0,1,0,1
courses,edu.ucsb.cs156.courses.services,UCSBSubjectsService,0,58,0,0,0,13,0,3,0,3
courses,edu.ucsb.cs156.courses.services,SystemInfoServiceImpl,0,30,0,0,0,10,0,3,0,3
courses,edu.ucsb.cs156.courses.services,GrantedAuthoritiesService,0,21,0,0,0,7,0,3,0,3
courses,edu.ucsb.cs156.courses.services,UCSBSubjectsService.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
courses,edu.ucsb.cs156.courses.services,SystemInfoService,0,3,0,0,0,1,0,1,0,1
courses,edu.ucsb.cs156.courses.services,CurrentUserService,0,10,0,2,0,2,0,3,0,2
courses,edu.ucsb.cs156.courses.services,UCSBCurriculumService,0,508,0,4,0,107,0,9,0,7
courses,edu.ucsb.cs156.courses.services.jobs,JobService,0,53,0,0,0,18,0,3,0,3
courses,edu.ucsb.cs156.courses.services.jobs,JobContext,0,48,0,4,0,7,0,4,0,2
